County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Wabash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warren,11.88,11.88,11.88,11.88,11.88,11.88,17.82,17.82,17.82,17.82,17.82,17.82,17.82,17.82
Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wayne,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18
White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whiteside,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Will,8.62,8.9,9.19,9.33,9.62,10.05,10.2,10.2,10.63,11.06,11.49,11.63,11.92,12.21
Williamson,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,28.29,28.29,28.29,28.29,28.29
Winnebago,18.92,19.98,19.98,19.98,19.98,19.98,19.98,20.33,20.33,20.68,20.68,21.03,21.03,21.03
Woodford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
