County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis
Hamilton,121,2013,29,28,15,7,9,2,2,5,4,2,2,3
Hancock,220,2013,58,52,14,10,15,14,3,5,3,5,2,1
Hardin,75,2013,26,14,7,4,6,2,1,0,2,0,1,0
Henderson,81,2013,27,25,4,2,4,3,1,1,3,0,0,1
Henry,531,2013,117,145,30,27,26,9,12,10,21,3,4,5
Iroquois,353,2013,73,74,26,23,19,26,12,13,0,5,10,4
Jackson,480,2013,117,94,20,16,25,30,11,15,11,10,7,4
Jasper,114,2013,23,25,10,9,6,0,5,7,6,4,2,1
Jefferson,473,2013,91,86,39,20,22,19,19,19,12,13,6,5
Jersey,264,2013,81,57,15,12,15,12,17,4,2,1,2,1
Jo Daviess,242,2013,57,65,10,17,9,11,6,2,3,2,1,4
Johnson,120,2013,28,24,11,5,5,1,0,3,3,2,1,0
Kane,2942,2013,566,728,130,132,134,68,101,83,87,40,36,38
Kankakee,1096,2013,270,237,64,64,52,42,27,26,19,23,9,13
Kendall,517,2013,82,144,30,24,30,15,15,14,11,8,4,13
Knox,718,2013,151,144,62,33,32,44,23,20,26,10,10,10
Lake,4285,2013,981,1046,207,181,158,104,138,101,95,80,66,67
LaSalle,1230,2013,341,277,75,70,57,38,19,23,34,20,19,17
Lawrence,173,2013,40,29,11,12,9,18,3,7,5,1,0,3
Lee,371,2013,98,93,27,19,12,17,13,11,4,5,6,1
Livingston,427,2013,111,106,27,24,14,15,21,8,11,4,5,1
Logan,341,2013,67,94,22,16,18,19,10,12,4,7,1,3
McDonough,324,2013,76,70,31,21,16,10,9,4,11,2,2,1
McHenry,1936,2013,411,510,130,75,87,51,61,43,50,23,36,29
McLean,1109,2013,265,261,73,50,44,44,18,15,19,22,26,10
Macon,1212,2013,273,301,76,59,34,21,31,35,32,32,14,18
Macoupin,573,2013,140,119,47,32,41,11,15,14,10,8,4,6
Madison,2771,2013,635,664,171,141,155,106,69,76,57,45,31,28
Marion,523,2013,129,132,36,29,22,16,22,18,9,6,4,11
Marshall,165,2013,39,29,13,10,5,7,6,7,6,1,2,0
Mason,208,2013,50,45,15,11,10,10,4,3,2,0,7,0
Massac,204,2013,48,28,21,11,10,9,5,7,3,2,3,4
Menard,118,2013,14,44,6,7,3,3,3,1,3,5,1,2
Mercer,186,2013,57,48,13,8,13,10,5,2,5,1,1,2
Monroe,305,2013,71,57,18,17,16,8,5,4,1,4,5,2
Montgomery,357,2013,80,84,25,21,21,17,7,2,14,5,7,3
Morgan,391,2013,117,87,25,21,27,9,6,4,7,7,0,9
Moultrie,179,2013,33,39,18,9,8,4,6,2,1,3,3,0
Ogle,508,2013,114,110,32,36,24,30,9,9,8,4,11,8
Peoria,1807,2013,409,396,97,138,81,49,42,40,58,35,28,14
Perry,230,2013,61,40,14,12,10,9,12,9,10,5,2,3
Piatt,198,2013,43,45,11,12,12,5,0,4,7,1,2,1
Pike,201,2013,39,45,17,10,7,11,6,3,6,6,1,2
Pope,45,2013,13,17,1,1,2,0,1,1,1,1,0,0
Pulaski,68,2013,21,11,5,2,2,1,0,3,2,1,1,1
Putnam,53,2013,15,12,1,2,4,3,2,2,0,2,3,1
Randolph,370,2013,85,77,22,19,33,17,7,6,9,5,2,3
Richland,203,2013,47,39,16,11,6,3,2,12,9,3,2,2
Rock Island,1532,2013,427,346,102,70,64,33,33,22,43,25,20,13
St. Clair,2481,2013,558,561,144,127,143,78,106,60,47,41,28,22
Saline,371,2013,83,61,20,13,22,20,9,16,15,13,5,8
Sangamon,1851,2013,434,451,109,88,94,39,42,34,49,40,31,21
Schuyler,80,2013,18,23,9,2,6,0,1,4,2,2,2,0
Scott,65,2013,13,14,3,4,6,0,0,0,2,1,1,0
Shelby,224,2013,57,58,17,8,10,11,6,4,5,5,2,1
Stark,65,2013,23,10,6,1,1,3,1,1,0,0,0,0
Stephenson,537,2013,119,122,24,30,28,17,14,8,11,8,7,5
Tazewell,1404,2013,301,333,86,78,48,34,33,21,49,23,19,16
Union,236,2013,51,49,9,13,10,6,2,15,10,8,1,4
Vermilion,897,2013,249,209,85,42,41,16,21,31,11,17,9,7
Wabash,143,2013,26,28,17,10,11,4,2,1,3,5,2,2
Warren,182,2013,57,51,7,13,11,3,6,2,1,3,4,3
Washington,160,2013,33,38,9,11,12,2,1,4,2,4,1,3
Wayne,218,2013,53,36,20,12,10,4,5,12,1,4,4,1
White,217,2013,46,59,20,7,14,5,4,12,3,3,2,1
Whiteside,638,2013,142,153,51,34,26,20,12,15,13,7,8,9
Will,4014,2013,962,1015,210,195,179,101,100,85,84,45,69,71
Williamson,749,2013,163,188,43,23,31,13,12,26,19,31,12,8
Winnebago,2899,2013,638,676,161,202,191,83,66,79,56,35,38,51
Woodford,369,2013,87,82,24,20,16,20,9,9,9,6,6,4
