County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Accidents,COVID_19,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia
McLean,1433,2022,319,278,76,78,68,86,84,48,29,24
Macon,1391,2022,275,252,54,92,66,80,46,31,35,21
Macoupin,676,2022,167,123,34,29,41,43,20,22,17,11
Madison,3294,2022,727,653,225,203,200,135,121,89,69,65
Marion,584,2022,130,116,37,48,19,53,15,16,13,6
Marshall,182,2022,51,32,13,11,9,6,8,1,5,3
Mason,203,2022,51,25,12,11,12,9,5,4,6,4
Massac,235,2022,34,41,10,9,12,18,27,10,3,3
Menard,145,2022,29,40,3,14,5,7,3,3,3,1
Mercer,221,2022,53,47,8,11,7,19,6,1,2,2
Monroe,368,2022,71,72,19,28,17,20,10,11,10,5
Montgomery,384,2022,70,90,15,23,25,23,13,9,6,6
Morgan,473,2022,102,93,29,31,21,30,13,7,14,3
Moultrie,197,2022,41,36,9,11,10,8,3,8,3,2
Ogle,577,2022,125,126,24,24,19,38,22,20,16,6
Peoria,2054,2022,427,378,164,114,110,93,83,52,29,29
Perry,274,2022,53,61,15,13,12,13,13,14,9,8
Piatt,187,2022,33,35,8,7,7,10,5,5,3,5
Pike,238,2022,48,33,15,25,12,24,5,6,3,5
Pope,62,2022,12,16,1,3,9,2,1,1,2,0
Pulaski,102,2022,43,17,3,3,4,4,0,2,1,1
Putnam,49,2022,13,10,3,3,3,4,2,1,2,0
Randolph,382,2022,82,77,26,23,24,25,8,6,10,3
Richland,237,2022,57,45,11,11,18,14,3,6,5,6
Rock Island,1733,2022,385,301,83,90,83,90,49,82,40,25
St. Clair,2881,2022,604,519,194,118,181,146,86,130,61,40
Saline,369,2022,84,65,19,25,11,25,8,20,9,9
Sangamon,2228,2022,480,407,140,102,93,107,67,60,50,45
Schuyler,98,2022,23,17,7,3,4,6,0,1,1,1
Scott,69,2022,13,16,2,5,2,3,3,5,2,2
Shelby,290,2022,59,67,13,25,20,14,7,4,7,4
Stark,75,2022,17,12,6,7,4,2,4,1,1,3
Stephenson,636,2022,131,113,31,62,30,31,22,20,14,14
Tazewell,1657,2022,325,327,103,88,102,91,70,44,32,34
Union,233,2022,55,53,9,9,8,21,10,11,8,3
Vermilion,1156,2022,209,222,72,58,49,84,28,46,22,22
Wabash,167,2022,28,36,3,8,9,15,8,3,9,2
Warren,208,2022,46,40,10,11,10,20,5,7,9,0
Washington,181,2022,39,40,12,8,4,12,8,6,4,5
Wayne,269,2022,49,52,10,20,5,17,20,12,5,4
White,242,2022,55,37,12,16,6,26,13,8,9,3
Whiteside,775,2022,164,167,37,52,52,33,14,18,17,12
Will,5565,2022,1151,1155,320,339,296,245,179,162,140,84
Williamson,886,2022,170,150,41,70,41,71,15,24,29,15
Winnebago,3457,2022,792,636,235,197,166,183,138,103,84,40
Woodford,448,2022,115,82,22,22,24,25,32,10,9,7
