County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Accidents,Chronic_Lower_Respiratory_Diseases,Alzheimers_Disease,Diabetes_Mellitus,Nephritis_Nephrotic_Syndrome_Nephrosis,Influenza_and_Pneumonia,Septicemia
Iroquois,364,2019,91,82,24,24,16,21,13,6,5,2
Jackson,482,2019,113,89,15,33,36,13,9,13,11,15
Jasper,97,2019,26,15,2,5,7,2,3,3,3,1
Jefferson,463,2019,102,100,30,25,36,28,9,10,12,10
Jersey,296,2019,82,63,11,15,13,13,17,9,11,2
Jo Daviess,225,2019,60,63,7,17,8,20,5,3,1,2
Johnson,129,2019,27,31,3,4,16,0,6,1,3,7
Kane,3322,2019,695,774,229,187,134,94,89,84,82,57
Kankakee,1141,2019,333,239,60,67,47,50,22,26,22,25
Kendall,643,2019,124,167,26,43,31,24,14,19,13,6
Knox,701,2019,161,133,38,30,59,46,24,16,14,10
Lake,4837,2019,1006,1105,236,250,228,219,129,131,81,97
LaSalle,1329,2019,302,300,85,76,70,62,26,29,24,20
Lawrence,187,2019,40,45,10,9,13,15,2,7,5,2
Lee,402,2019,102,103,19,23,20,16,4,11,4,6
Livingston,449,2019,105,89,29,24,22,25,13,7,14,9
Logan,335,2019,76,78,14,10,21,22,3,6,8,8
McDonough,336,2019,83,57,33,19,20,8,5,9,7,3
McHenry,2141,2019,471,527,112,140,115,83,76,33,20,29
McLean,1225,2019,271,269,51,75,100,88,24,25,9,19
Macon,1282,2019,260,277,66,56,74,60,22,23,35,43
Macoupin,553,2019,140,112,27,26,40,18,9,10,13,5
Madison,2960,2019,717,579,216,209,149,129,78,59,55,71
Marion,486,2019,121,99,27,26,40,16,13,20,9,5
Marshall,154,2019,52,25,7,4,10,12,1,1,6,2
Mason,190,2019,38,43,9,8,16,8,6,4,3,3
Massac,192,2019,22,41,8,8,20,15,5,2,5,7
Menard,117,2019,15,22,7,5,9,0,3,3,9,3
Mercer,182,2019,50,39,13,6,17,8,3,4,1,2
Monroe,329,2019,77,69,25,16,23,9,4,7,6,4
Montgomery,381,2019,91,73,22,19,24,23,4,7,12,10
Morgan,426,2019,131,95,19,15,31,9,8,5,10,6
Moultrie,212,2019,45,34,9,11,11,5,9,1,5,2
Ogle,542,2019,111,121,31,29,41,38,10,8,3,6
Peoria,1836,2019,420,412,109,105,106,83,34,36,35,30
Perry,237,2019,59,51,11,10,16,7,7,13,7,0
Piatt,175,2019,35,34,6,12,15,5,4,2,1,3
Pike,213,2019,38,54,10,10,14,5,1,3,3,5
Pope,47,2019,12,13,1,5,2,1,3,1,1,0
Pulaski,90,2019,22,24,6,9,1,1,2,1,0,1
Putnam,54,2019,11,19,3,3,5,1,0,1,0,0
Randolph,361,2019,83,70,15,22,25,7,13,12,6,4
Richland,193,2019,46,35,10,4,18,2,8,7,11,2
Rock Island,1584,2019,383,320,69,87,99,43,43,53,28,40
St. Clair,2617,2019,614,508,163,147,175,81,68,59,35,58
Saline,367,2019,76,63,22,19,32,6,15,10,19,7
Sangamon,2000,2019,412,434,76,118,110,68,46,42,48,60
Schuyler,75,2019,19,9,6,4,6,0,4,1,5,0
Scott,66,2019,20,15,2,3,3,1,1,4,1,1
Shelby,264,2019,59,69,12,21,8,8,7,5,10,3
Stark,65,2019,19,11,3,5,4,7,1,2,0,1
Stephenson,570,2019,120,108,26,37,31,22,17,14,11,5
Tazewell,1409,2019,273,314,56,66,99,73,41,36,30,35
Union,244,2019,66,40,13,10,14,5,0,13,12,6
Vermilion,997,2019,201,225,50,59,84,40,34,18,15,13
Wabash,132,2019,22,29,8,8,10,4,0,2,3,1
Warren,197,2019,53,42,10,13,18,6,3,2,4,0
Washington,133,2019,38,24,10,8,6,2,3,4,4,2
Wayne,225,2019,52,42,12,6,19,3,6,10,4,3
White,229,2019,41,34,14,13,25,5,4,12,7,5
Whiteside,661,2019,203,141,32,22,58,21,12,16,11,3
Will,4813,2019,1108,1154,253,273,238,144,140,121,80,70
Williamson,717,2019,142,155,39,27,64,11,22,17,11,33
Winnebago,3002,2019,733,609,168,220,193,129,66,72,39,34
Woodford,393,2019,105,77,30,17,24,27,9,5,6,2
