County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Accidents,Alzheimers_Disease,Diabetes_Mellitus,Influenza_and_Pneumonia,Nephritis_Nephrotic_Syndrome_Nephrosis,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
Jefferson,459,2008,106,98,20,41,24,20,12,35,10,9,7,3,74
Jersey,209,2008,56,37,10,12,9,14,10,6,3,1,3,1,47
Jo Daviess,222,2008,56,55,24,15,11,6,5,4,2,1,4,3,36
Johnson,120,2008,27,34,5,7,3,4,2,2,5,4,0,1,26
Kane,2677,2008,597,660,135,137,100,81,91,60,66,62,34,34,620
Kankakee,1104,2008,305,236,53,60,44,81,24,31,33,18,10,10,199
Kendall,393,2008,83,96,13,19,29,15,15,4,10,5,11,4,89
Knox,684,2008,148,121,44,70,36,42,14,24,10,7,9,2,157
Lake,3960,2008,864,1030,226,211,183,118,106,78,82,56,74,54,878
LaSalle,1293,2008,348,305,70,71,56,43,34,38,19,13,9,20,267
Lawrence,196,2008,51,30,9,14,13,17,2,4,8,5,2,2,39
Lee,352,2008,69,98,21,25,13,14,10,7,12,7,4,3,69
Livingston,396,2008,111,87,23,24,27,10,14,10,12,8,7,4,59
Logan,320,2008,66,63,24,21,13,19,11,7,4,1,1,3,87
McDonough,295,2008,84,69,33,21,6,6,4,7,2,2,3,2,56
McHenry,1863,2008,448,466,108,94,80,65,59,38,27,24,24,32,398
McLean,1157,2008,299,260,57,71,54,66,33,22,20,12,19,21,223
Macon,1239,2008,307,300,84,73,33,28,32,14,49,32,16,5,266
Macoupin,567,2008,153,132,30,36,26,15,17,18,15,5,7,7,106
Madison,2676,2008,708,580,147,187,146,117,70,69,68,43,35,23,483
Marion,511,2008,129,109,24,40,22,26,20,17,21,9,5,4,85
Marshall,172,2008,45,26,14,13,12,7,1,7,5,1,0,1,40
Mason,197,2008,45,53,10,18,7,10,4,5,3,4,1,0,37
Massac,203,2008,48,47,9,17,9,5,5,3,14,1,2,2,41
Menard,128,2008,25,29,11,13,5,2,2,5,2,0,0,0,34
Mercer,148,2008,34,31,3,22,6,11,5,1,8,1,2,2,22
Monroe,299,2008,71,63,17,27,10,7,5,9,6,7,7,2,68
Montgomery,390,2008,100,89,37,20,16,24,8,13,7,2,5,1,68
Morgan,442,2008,106,99,22,25,26,14,8,16,6,4,3,3,110
Moultrie,202,2008,46,33,17,12,9,10,12,7,2,2,0,0,52
Ogle,442,2008,93,98,32,29,18,23,13,10,13,7,9,2,95
Peoria,1754,2008,433,413,108,95,66,49,44,55,45,41,23,19,363
Perry,269,2008,66,61,14,17,14,8,14,6,4,2,2,1,60
Piatt,167,2008,34,40,7,8,9,4,7,6,2,0,0,3,47
Pike,212,2008,40,45,13,15,7,4,7,9,6,5,1,4,56
Pope,57,2008,14,15,2,7,3,1,0,1,1,0,1,1,11
Pulaski,83,2008,26,14,5,5,3,2,1,1,4,0,2,0,20
Putnam,56,2008,7,22,3,3,7,2,2,0,1,2,2,2,3
Randolph,372,2008,82,79,26,31,12,17,16,9,8,2,3,1,86
Richland,211,2008,44,42,15,17,13,0,2,8,10,3,2,2,53
Rock Island,1581,2008,454,336,66,113,49,66,48,46,26,32,23,21,301
St. Clair,2477,2008,574,563,137,158,110,89,108,39,55,47,31,23,543
Saline,381,2008,89,86,25,18,12,27,10,10,13,4,4,7,76
Sangamon,1782,2008,415,389,116,108,87,34,40,48,49,25,14,35,422
Schuyler,80,2008,29,17,1,6,3,0,5,1,2,0,1,1,14
Scott,50,2008,15,12,2,3,3,0,1,0,0,2,2,0,10
Shelby,262,2008,67,68,16,11,15,3,9,9,9,2,2,3,48
Stark,57,2008,13,20,2,3,1,1,0,2,4,0,1,0,10
