FIPS,County,Cause of Death,Deaths
099,LA SALLE,Nutritional deficiencies,21
099,LA SALLE,Intentional self-harm (suicide),21
099,LA SALLE,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",20
099,LA SALLE,Septicemia,19
099,LA SALLE,Essential hypertension and hypertensive renal disease (hypertension),19
099,LA SALLE,Influenza and pneumonia,11
099,LA SALLE,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",11
099,LA SALLE,Parkinson disease,*
099,LA SALLE,Pneumonitis due to solids and liquids,*
099,LA SALLE,Unknown (R99),*
099,LA SALLE,Aortic aneurysm and dissection,*
099,LA SALLE,Certain conditions originating in the perinatal period,*
099,LA SALLE,Assault (homicide),*
099,LA SALLE,"Congenital malformations, deformations and chromosomal abnormalities",*
099,LA SALLE,Enterocolitis due to Clostridium difficile,*
099,LA SALLE,Peptic ulcer,*
099,LA SALLE,Hernia,*
099,LA SALLE,Cholelithiasis and other disorders of gallbladder,*
099,LA SALLE,Atherosclerosis,*
099,LA SALLE,Infections of kidney,*
101,LAWRENCE,Diseases of heart (heart disease),36
101,LAWRENCE,Malignant neoplasms (cancer),30
101,LAWRENCE,All other causes,19
101,LAWRENCE,Cerebrovascular diseases (stroke),14
101,LAWRENCE,Chronic lower respiratory diseases,10
101,LAWRENCE,Diabetes mellitus (diabetes),*
101,LAWRENCE,Accidents (unintentional injuries),*
101,LAWRENCE,Alzheimer disease,*
101,LAWRENCE,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
101,LAWRENCE,Chronic liver disease and cirrhosis,*
101,LAWRENCE,Influenza and pneumonia,*
101,LAWRENCE,Pneumonitis due to solids and liquids,*
101,LAWRENCE,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
101,LAWRENCE,Nutritional deficiencies,*
101,LAWRENCE,Parkinson disease,*
101,LAWRENCE,Septicemia,*
101,LAWRENCE,Essential hypertension and hypertensive renal disease (hypertension),*
101,LAWRENCE,Aortic aneurysm and dissection,*
101,LAWRENCE,Intentional self-harm (suicide),*
101,LAWRENCE,Certain conditions originating in the perinatal period,*
101,LAWRENCE,Anemias,*
101,LAWRENCE,,*
101,LAWRENCE,Unknown (R99),*
103,LEE,Malignant neoplasms (cancer),99
103,LEE,Diseases of heart (heart disease),80
103,LEE,All other causes,63
103,LEE,Cerebrovascular diseases (stroke),25
103,LEE,Chronic lower respiratory diseases,22
103,LEE,Accidents (unintentional injuries),20
103,LEE,Alzheimer disease,14
103,LEE,COVID-19,12
103,LEE,Septicemia,*
103,LEE,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
103,LEE,Intentional self-harm (suicide),*
103,LEE,Influenza and pneumonia,*
103,LEE,Diabetes mellitus (diabetes),*
103,LEE,Nutritional deficiencies,*
103,LEE,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
103,LEE,Chronic liver disease and cirrhosis,*
103,LEE,Anemias,*
103,LEE,Pneumonitis due to solids and liquids,*
103,LEE,"Congenital malformations, deformations and chromosomal abnormalities",*
103,LEE,Essential hypertension and hypertensive renal disease (hypertension),*
103,LEE,Parkinson disease,*
103,LEE,Unknown (R99),*
103,LEE,Infections of kidney,*
103,LEE,Aortic aneurysm and dissection,*
103,LEE,Certain conditions originating in the perinatal period,*
103,LEE,Assault (homicide),*
103,LEE,Peptic ulcer,*
105,LIVINGSTON,Diseases of heart (heart disease),105
105,LIVINGSTON,Malignant neoplasms (cancer),73
105,LIVINGSTON,All other causes,66
105,LIVINGSTON,Alzheimer disease,36
105,LIVINGSTON,Cerebrovascular diseases (stroke),35
105,LIVINGSTON,Chronic lower respiratory diseases,30
105,LIVINGSTON,Accidents (unintentional injuries),25
105,LIVINGSTON,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",10
105,LIVINGSTON,Chronic liver disease and cirrhosis,*
105,LIVINGSTON,COVID-19,*
105,LIVINGSTON,Diabetes mellitus (diabetes),*
105,LIVINGSTON,Parkinson disease,*
105,LIVINGSTON,Septicemia,*
105,LIVINGSTON,Intentional self-harm (suicide),*
105,LIVINGSTON,Influenza and pneumonia,*
105,LIVINGSTON,Essential hypertension and hypertensive renal disease (hypertension),*
105,LIVINGSTON,Pneumonitis due to solids and liquids,*
105,LIVINGSTON,Nutritional deficiencies,*
105,LIVINGSTON,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
105,LIVINGSTON,Unknown (R99),*
105,LIVINGSTON,Viral hepatitis,*
105,LIVINGSTON,Anemias,*
105,LIVINGSTON,Meningococcal infection,*
105,LIVINGSTON,"Congenital malformations, deformations and chromosomal abnormalities",*
105,LIVINGSTON,Peptic ulcer,*
107,LOGAN,Malignant neoplasms (cancer),84
107,LOGAN,Diseases of heart (heart disease),78
107,LOGAN,All other causes,63
107,LOGAN,Chronic lower respiratory diseases,21
107,LOGAN,Alzheimer disease,17
107,LOGAN,Cerebrovascular diseases (stroke),15
107,LOGAN,Accidents (unintentional injuries),14
107,LOGAN,Septicemia,*
107,LOGAN,COVID-19,*
107,LOGAN,Chronic liver disease and cirrhosis,*
107,LOGAN,Diabetes mellitus (diabetes),*
107,LOGAN,Intentional self-harm (suicide),*
107,LOGAN,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
107,LOGAN,Influenza and pneumonia,*
107,LOGAN,"Congenital malformations, deformations and chromosomal abnormalities",*
107,LOGAN,Parkinson disease,*
107,LOGAN,Nutritional deficiencies,*
107,LOGAN,Unknown (R99),*
107,LOGAN,Enterocolitis due to Clostridium difficile,*
107,LOGAN,Pneumonitis due to solids and liquids,*
107,LOGAN,Essential hypertension and hypertensive renal disease (hypertension),*
107,LOGAN,Atherosclerosis,*
107,LOGAN,Assault (homicide),*
107,LOGAN,Aortic aneurysm and dissection,*
107,LOGAN,Human immunodeficiency virus (HIV) disease,*
109,MCDONOUGH,Diseases of heart (heart disease),73
109,MCDONOUGH,Malignant neoplasms (cancer),54
109,MCDONOUGH,All other causes,47
109,MCDONOUGH,Chronic lower respiratory diseases,20
109,MCDONOUGH,Cerebrovascular diseases (stroke),18
109,MCDONOUGH,Septicemia,17
109,MCDONOUGH,Accidents (unintentional injuries),16
109,MCDONOUGH,Essential hypertension and hypertensive renal disease (hypertension),15
109,MCDONOUGH,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",14
109,MCDONOUGH,Alzheimer disease,11
109,MCDONOUGH,COVID-19,*
109,MCDONOUGH,Intentional self-harm (suicide),*
109,MCDONOUGH,Influenza and pneumonia,*
109,MCDONOUGH,Assault (homicide),*
109,MCDONOUGH,Chronic liver disease and cirrhosis,*
109,MCDONOUGH,Diabetes mellitus (diabetes),*
109,MCDONOUGH,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
109,MCDONOUGH,Parkinson disease,*
109,MCDONOUGH,Anemias,*
109,MCDONOUGH,Cholelithiasis and other disorders of gallbladder,*
109,MCDONOUGH,Nutritional deficiencies,*
109,MCDONOUGH,Pneumonitis due to solids and liquids,*
109,MCDONOUGH,Viral hepatitis,*
109,MCDONOUGH,Hernia,*
109,MCDONOUGH,Aortic aneurysm and dissection,*
111,MCHENRY,Malignant neoplasms (cancer),615
111,MCHENRY,Diseases of heart (heart disease),551
111,MCHENRY,All other causes,419
111,MCHENRY,Cerebrovascular diseases (stroke),174
111,MCHENRY,Accidents (unintentional injuries),125
111,MCHENRY,Chronic lower respiratory diseases,109
111,MCHENRY,Alzheimer disease,103
111,MCHENRY,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",67
111,MCHENRY,Diabetes mellitus (diabetes),52
111,MCHENRY,Chronic liver disease and cirrhosis,40
111,MCHENRY,Septicemia,40
111,MCHENRY,Intentional self-harm (suicide),39
111,MCHENRY,Influenza and pneumonia,38
111,MCHENRY,Parkinson disease,32
111,MCHENRY,COVID-19,26
111,MCHENRY,Pneumonitis due to solids and liquids,25
111,MCHENRY,Essential hypertension and hypertensive renal disease (hypertension),17
111,MCHENRY,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",16
111,MCHENRY,Nutritional deficiencies,12
111,MCHENRY,Certain conditions originating in the perinatal period,10
111,MCHENRY,Aortic aneurysm and dissection,*
111,MCHENRY,Assault (homicide),*
111,MCHENRY,Unknown (R99),*
111,MCHENRY,Anemias,*
111,MCHENRY,Enterocolitis due to Clostridium difficile,*
111,MCHENRY,"Congenital malformations, deformations and chromosomal abnormalities",*
111,MCHENRY,Atherosclerosis,*
111,MCHENRY,Complications of medical and surgical care,*
111,MCHENRY,Hernia,*
111,MCHENRY,Cholelithiasis and other disorders of gallbladder,*
111,MCHENRY,,*
111,MCHENRY,Meningitis,*
111,MCHENRY,Human immunodeficiency virus (HIV) disease,*
111,MCHENRY,Infections of kidney,*
111,MCHENRY,Tuberculosis,*
113,MCLEAN,Diseases of heart (heart disease),330
113,MCLEAN,Malignant neoplasms (cancer),260
113,MCLEAN,All other causes,182
113,MCLEAN,Accidents (unintentional injuries),88
113,MCLEAN,Alzheimer disease,84
113,MCLEAN,Cerebrovascular diseases (stroke),61
113,MCLEAN,Chronic lower respiratory diseases,61
113,MCLEAN,Intentional self-harm (suicide),26
113,MCLEAN,Diabetes mellitus (diabetes),25
113,MCLEAN,Chronic liver disease and cirrhosis,24
113,MCLEAN,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",24
113,MCLEAN,Septicemia,19
113,MCLEAN,Influenza and pneumonia,16
113,MCLEAN,COVID-19,15
113,MCLEAN,Parkinson disease,15
113,MCLEAN,Pneumonitis due to solids and liquids,13
113,MCLEAN,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",11
113,MCLEAN,Essential hypertension and hypertensive renal disease (hypertension),*
113,MCLEAN,Anemias,*
113,MCLEAN,Assault (homicide),*
113,MCLEAN,Aortic aneurysm and dissection,*
113,MCLEAN,Enterocolitis due to Clostridium difficile,*
113,MCLEAN,Nutritional deficiencies,*
113,MCLEAN,"Congenital malformations, deformations and chromosomal abnormalities",*
113,MCLEAN,Certain conditions originating in the perinatal period,*
113,MCLEAN,Human immunodeficiency virus (HIV) disease,*
113,MCLEAN,Hernia,*
113,MCLEAN,"Pregnancy, childbirth and the puerperium",*
113,MCLEAN,Atherosclerosis,*
113,MCLEAN,Unknown (R99),*
113,MCLEAN,Viral hepatitis,*
115,MACON,Diseases of heart (heart disease),299
115,MACON,Malignant neoplasms (cancer),277
115,MACON,All other causes,236
115,MACON,Accidents (unintentional injuries),75
115,MACON,Chronic lower respiratory diseases,64
115,MACON,Cerebrovascular diseases (stroke),51
115,MACON,Alzheimer disease,43
115,MACON,Septicemia,34
115,MACON,Influenza and pneumonia,32
115,MACON,Diabetes mellitus (diabetes),28
115,MACON,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",26
115,MACON,Essential hypertension and hypertensive renal disease (hypertension),23
115,MACON,Parkinson disease,22
115,MACON,Nutritional deficiencies,20
115,MACON,Assault (homicide),20
115,MACON,Chronic liver disease and cirrhosis,20
115,MACON,Pneumonitis due to solids and liquids,16
115,MACON,Intentional self-harm (suicide),14
115,MACON,COVID-19,14
115,MACON,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
115,MACON,Aortic aneurysm and dissection,*
115,MACON,Anemias,*
115,MACON,Unknown (R99),*
115,MACON,Enterocolitis due to Clostridium difficile,*
115,MACON,"Congenital malformations, deformations and chromosomal abnormalities",*
115,MACON,Peptic ulcer,*
115,MACON,Pneumoconioses and chemical effects,*
115,MACON,Diseases of appendix,*
115,MACON,Certain conditions originating in the perinatal period,*
115,MACON,Complications of medical and surgical care,*
115,MACON,Cholelithiasis and other disorders of gallbladder,*
117,MACOUPIN,Diseases of heart (heart disease),139
117,MACOUPIN,All other causes,109
117,MACOUPIN,Malignant neoplasms (cancer),109
117,MACOUPIN,Accidents (unintentional injuries),37
117,MACOUPIN,Chronic lower respiratory diseases,30
117,MACOUPIN,Cerebrovascular diseases (stroke),28
117,MACOUPIN,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",17
117,MACOUPIN,Alzheimer disease,15
117,MACOUPIN,Diabetes mellitus (diabetes),15
117,MACOUPIN,Septicemia,12
117,MACOUPIN,COVID-19,11
117,MACOUPIN,Intentional self-harm (suicide),*
117,MACOUPIN,Influenza and pneumonia,*
117,MACOUPIN,Chronic liver disease and cirrhosis,*
117,MACOUPIN,Essential hypertension and hypertensive renal disease (hypertension),*
117,MACOUPIN,Parkinson disease,*
117,MACOUPIN,Aortic aneurysm and dissection,*
117,MACOUPIN,Nutritional deficiencies,*
117,MACOUPIN,Assault (homicide),*
117,MACOUPIN,Complications of medical and surgical care,*
117,MACOUPIN,Pneumonitis due to solids and liquids,*
117,MACOUPIN,Anemias,*
117,MACOUPIN,Viral hepatitis,*
117,MACOUPIN,Unknown (R99),*
117,MACOUPIN,"Pregnancy, childbirth and the puerperium",*
117,MACOUPIN,Human immunodeficiency virus (HIV) disease,*
117,MACOUPIN,Hernia,*
117,MACOUPIN,"Congenital malformations, deformations and chromosomal abnormalities",*
117,MACOUPIN,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
119,MADISON,Diseases of heart (heart disease),710
119,MADISON,Malignant neoplasms (cancer),578
119,MADISON,All other causes,410
119,MADISON,Cerebrovascular diseases (stroke),219
119,MADISON,Accidents (unintentional injuries),209
119,MADISON,Chronic lower respiratory diseases,148
119,MADISON,Alzheimer disease,102
119,MADISON,Septicemia,89
119,MADISON,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",88
119,MADISON,Diabetes mellitus (diabetes),66
119,MADISON,COVID-19,50
119,MADISON,Chronic liver disease and cirrhosis,48
119,MADISON,Influenza and pneumonia,46
119,MADISON,Intentional self-harm (suicide),45
119,MADISON,Parkinson disease,34
119,MADISON,Essential hypertension and hypertensive renal disease (hypertension),32
119,MADISON,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",25
119,MADISON,Nutritional deficiencies,22
119,MADISON,Assault (homicide),21
119,MADISON,Pneumonitis due to solids and liquids,21
119,MADISON,Aortic aneurysm and dissection,13
119,MADISON,Unknown (R99),11
119,MADISON,Anemias,10
119,MADISON,Certain conditions originating in the perinatal period,*
119,MADISON,,*
119,MADISON,"Congenital malformations, deformations and chromosomal abnormalities",*
119,MADISON,Enterocolitis due to Clostridium difficile,*
119,MADISON,Atherosclerosis,*
119,MADISON,Cholelithiasis and other disorders of gallbladder,*
119,MADISON,Peptic ulcer,*
119,MADISON,"Pregnancy, childbirth and the puerperium",*
119,MADISON,Human immunodeficiency virus (HIV) disease,*
119,MADISON,Complications of medical and surgical care,*
119,MADISON,Viral hepatitis,*
119,MADISON,Hyperplasia of prostate,*
119,MADISON,Hernia,*
119,MADISON,Diseases of appendix,*
119,MADISON,Inflammatory diseases of female pelvic organs,*
121,MARION,Diseases of heart (heart disease),111
121,MARION,Malignant neoplasms (cancer),107
121,MARION,All other causes,64
121,MARION,Chronic lower respiratory diseases,44
121,MARION,Cerebrovascular diseases (stroke),33
121,MARION,Accidents (unintentional injuries),22
121,MARION,Alzheimer disease,20
121,MARION,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",19
121,MARION,Diabetes mellitus (diabetes),16
121,MARION,Septicemia,*
121,MARION,Chronic liver disease and cirrhosis,*
121,MARION,Influenza and pneumonia,*
121,MARION,Intentional self-harm (suicide),*
121,MARION,Pneumonitis due to solids and liquids,*
121,MARION,COVID-19,*
121,MARION,Essential hypertension and hypertensive renal disease (hypertension),*
121,MARION,Aortic aneurysm and dissection,*
121,MARION,Parkinson disease,*
121,MARION,"Congenital malformations, deformations and chromosomal abnormalities",*
121,MARION,Cholelithiasis and other disorders of gallbladder,*
121,MARION,Anemias,*
121,MARION,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
121,MARION,Hernia,*
121,MARION,Certain conditions originating in the perinatal period,*
121,MARION,Enterocolitis due to Clostridium difficile,*
121,MARION,Legal intervention,*
121,MARION,Assault (homicide),*
121,MARION,Unknown (R99),*
123,MARSHALL,Diseases of heart (heart disease),57
123,MARSHALL,Malignant neoplasms (cancer),33
123,MARSHALL,All other causes,32
123,MARSHALL,Chronic lower respiratory diseases,10
123,MARSHALL,Cerebrovascular diseases (stroke),10
123,MARSHALL,Accidents (unintentional injuries),10
123,MARSHALL,Alzheimer disease,*
123,MARSHALL,Septicemia,*
123,MARSHALL,Nutritional deficiencies,*
123,MARSHALL,Essential hypertension and hypertensive renal disease (hypertension),*
123,MARSHALL,Certain conditions originating in the perinatal period,*
123,MARSHALL,Diabetes mellitus (diabetes),*
123,MARSHALL,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
123,MARSHALL,Influenza and pneumonia,*
123,MARSHALL,Intentional self-harm (suicide),*
123,MARSHALL,Pneumonitis due to solids and liquids,*
123,MARSHALL,Parkinson disease,*
123,MARSHALL,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
123,MARSHALL,"Congenital malformations, deformations and chromosomal abnormalities",*
123,MARSHALL,Chronic liver disease and cirrhosis,*
123,MARSHALL,Aortic aneurysm and dissection,*
123,MARSHALL,COVID-19,*
125,MASON,Diseases of heart (heart disease),46
125,MASON,Malignant neoplasms (cancer),40
125,MASON,All other causes,22
125,MASON,Accidents (unintentional injuries),18
125,MASON,Chronic lower respiratory diseases,15
125,MASON,Diabetes mellitus (diabetes),11
125,MASON,Cerebrovascular diseases (stroke),10
125,MASON,Alzheimer disease,*
125,MASON,COVID-19,*
125,MASON,Pneumonitis due to solids and liquids,*
125,MASON,Chronic liver disease and cirrhosis,*
125,MASON,Essential hypertension and hypertensive renal disease (hypertension),*
125,MASON,Septicemia,*
125,MASON,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
125,MASON,Intentional self-harm (suicide),*
125,MASON,Nutritional deficiencies,*
125,MASON,Assault (homicide),*
125,MASON,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
125,MASON,Influenza and pneumonia,*
125,MASON,Enterocolitis due to Clostridium difficile,*
125,MASON,Aortic aneurysm and dissection,*
125,MASON,Certain conditions originating in the perinatal period,*
125,MASON,Anemias,*
125,MASON,Tuberculosis,*
125,MASON,Parkinson disease,*
127,MASSAC,Malignant neoplasms (cancer),45
127,MASSAC,All other causes,33
127,MASSAC,Diseases of heart (heart disease),27
127,MASSAC,Chronic lower respiratory diseases,22
127,MASSAC,Cerebrovascular diseases (stroke),18
127,MASSAC,Alzheimer disease,11
127,MASSAC,Essential hypertension and hypertensive renal disease (hypertension),*
127,MASSAC,Diabetes mellitus (diabetes),*
127,MASSAC,Accidents (unintentional injuries),*
127,MASSAC,Septicemia,*
127,MASSAC,Parkinson disease,*
127,MASSAC,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
127,MASSAC,Chronic liver disease and cirrhosis,*
127,MASSAC,Intentional self-harm (suicide),*
127,MASSAC,COVID-19,*
127,MASSAC,Pneumonitis due to solids and liquids,*
127,MASSAC,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
127,MASSAC,Anemias,*
127,MASSAC,"Congenital malformations, deformations and chromosomal abnormalities",*
127,MASSAC,Nutritional deficiencies,*
127,MASSAC,Hyperplasia of prostate,*
127,MASSAC,Human immunodeficiency virus (HIV) disease,*
127,MASSAC,Assault (homicide),*
129,MENARD,All other causes,36
129,MENARD,Diseases of heart (heart disease),36
129,MENARD,Malignant neoplasms (cancer),25
129,MENARD,Cerebrovascular diseases (stroke),*
129,MENARD,Chronic lower respiratory diseases,*
129,MENARD,Diabetes mellitus (diabetes),*
129,MENARD,Intentional self-harm (suicide),*
129,MENARD,Alzheimer disease,*
129,MENARD,Chronic liver disease and cirrhosis,*
129,MENARD,Influenza and pneumonia,*
129,MENARD,Septicemia,*
129,MENARD,COVID-19,*
129,MENARD,Nutritional deficiencies,*
129,MENARD,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
129,MENARD,Accidents (unintentional injuries),*
129,MENARD,Aortic aneurysm and dissection,*
129,MENARD,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
129,MENARD,Hyperplasia of prostate,*
129,MENARD,Parkinson disease,*
129,MENARD,Pneumonitis due to solids and liquids,*
129,MENARD,Essential hypertension and hypertensive renal disease (hypertension),*
131,MERCER,Malignant neoplasms (cancer),54
131,MERCER,Diseases of heart (heart disease),49
131,MERCER,All other causes,37
131,MERCER,Chronic lower respiratory diseases,14
131,MERCER,Accidents (unintentional injuries),*
131,MERCER,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
131,MERCER,Cerebrovascular diseases (stroke),*
131,MERCER,Intentional self-harm (suicide),*
131,MERCER,Diabetes mellitus (diabetes),*
131,MERCER,Essential hypertension and hypertensive renal disease (hypertension),*
131,MERCER,Chronic liver disease and cirrhosis,*
131,MERCER,Alzheimer disease,*
131,MERCER,Influenza and pneumonia,*
131,MERCER,Septicemia,*
131,MERCER,Peptic ulcer,*
131,MERCER,Nutritional deficiencies,*
131,MERCER,Pneumonitis due to solids and liquids,*
131,MERCER,Parkinson disease,*
131,MERCER,COVID-19,*
131,MERCER,Assault (homicide),*
131,MERCER,Aortic aneurysm and dissection,*
131,MERCER,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
131,MERCER,Cholelithiasis and other disorders of gallbladder,*
133,MONROE,Diseases of heart (heart disease),83
133,MONROE,All other causes,77
133,MONROE,Malignant neoplasms (cancer),65
133,MONROE,Cerebrovascular diseases (stroke),25
133,MONROE,Accidents (unintentional injuries),22
133,MONROE,Chronic lower respiratory diseases,20
133,MONROE,Diabetes mellitus (diabetes),11
133,MONROE,Parkinson disease,10
133,MONROE,Chronic liver disease and cirrhosis,*
133,MONROE,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
133,MONROE,Alzheimer disease,*
133,MONROE,COVID-19,*
133,MONROE,Septicemia,*
133,MONROE,Intentional self-harm (suicide),*
133,MONROE,Essential hypertension and hypertensive renal disease (hypertension),*
133,MONROE,Influenza and pneumonia,*
133,MONROE,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
133,MONROE,Nutritional deficiencies,*
133,MONROE,Unknown (R99),*
133,MONROE,Enterocolitis due to Clostridium difficile,*
133,MONROE,Aortic aneurysm and dissection,*
133,MONROE,Complications of medical and surgical care,*
133,MONROE,Cholelithiasis and other disorders of gallbladder,*
133,MONROE,Certain conditions originating in the perinatal period,*
133,MONROE,"Pregnancy, childbirth and the puerperium",*
133,MONROE,,*
133,MONROE,Anemias,*
133,MONROE,Hyperplasia of prostate,*
135,MONTGOMERY,Malignant neoplasms (cancer),69
135,MONTGOMERY,Diseases of heart (heart disease),67
135,MONTGOMERY,All other causes,47
135,MONTGOMERY,Cerebrovascular diseases (stroke),31
135,MONTGOMERY,Chronic lower respiratory diseases,18
135,MONTGOMERY,Accidents (unintentional injuries),12
135,MONTGOMERY,Septicemia,11
135,MONTGOMERY,Intentional self-harm (suicide),11
135,MONTGOMERY,Influenza and pneumonia,10
135,MONTGOMERY,Alzheimer disease,*
135,MONTGOMERY,COVID-19,*
135,MONTGOMERY,Diabetes mellitus (diabetes),*
135,MONTGOMERY,Parkinson disease,*
135,MONTGOMERY,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
135,MONTGOMERY,Essential hypertension and hypertensive renal disease (hypertension),*
135,MONTGOMERY,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
135,MONTGOMERY,Chronic liver disease and cirrhosis,*
135,MONTGOMERY,Pneumonitis due to solids and liquids,*
135,MONTGOMERY,Unknown (R99),*
135,MONTGOMERY,Meningitis,*
135,MONTGOMERY,"Congenital malformations, deformations and chromosomal abnormalities",*
135,MONTGOMERY,Salmonella infections,*
135,MONTGOMERY,Cholelithiasis and other disorders of gallbladder,*
135,MONTGOMERY,Aortic aneurysm and dissection,*
135,MONTGOMERY,Human immunodeficiency virus (HIV) disease,*
137,MORGAN,Diseases of heart (heart disease),93
137,MORGAN,Malignant neoplasms (cancer),76
137,MORGAN,All other causes,66
137,MORGAN,Accidents (unintentional injuries),27
137,MORGAN,Alzheimer disease,22
137,MORGAN,Chronic lower respiratory diseases,21
137,MORGAN,Cerebrovascular diseases (stroke),14
137,MORGAN,Septicemia,13
137,MORGAN,Influenza and pneumonia,11
137,MORGAN,COVID-19,*
137,MORGAN,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
137,MORGAN,Chronic liver disease and cirrhosis,*
137,MORGAN,Parkinson disease,*
137,MORGAN,Nutritional deficiencies,*
137,MORGAN,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
137,MORGAN,Diabetes mellitus (diabetes),*
137,MORGAN,Pneumonitis due to solids and liquids,*
137,MORGAN,Intentional self-harm (suicide),*
137,MORGAN,Cholelithiasis and other disorders of gallbladder,*
137,MORGAN,Aortic aneurysm and dissection,*
137,MORGAN,Certain conditions originating in the perinatal period,*
137,MORGAN,Essential hypertension and hypertensive renal disease (hypertension),*
137,MORGAN,Enterocolitis due to Clostridium difficile,*
137,MORGAN,Unknown (R99),*
137,MORGAN,Assault (homicide),*
137,MORGAN,Human immunodeficiency virus (HIV) disease,*
139,MOULTRIE,All other causes,42
139,MOULTRIE,Malignant neoplasms (cancer),37
139,MOULTRIE,Diseases of heart (heart disease),37
139,MOULTRIE,Chronic lower respiratory diseases,15
139,MOULTRIE,Accidents (unintentional injuries),*
139,MOULTRIE,Diabetes mellitus (diabetes),*
139,MOULTRIE,Cerebrovascular diseases (stroke),*
139,MOULTRIE,Alzheimer disease,*
139,MOULTRIE,Septicemia,*
139,MOULTRIE,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
139,MOULTRIE,Essential hypertension and hypertensive renal disease (hypertension),*
139,MOULTRIE,Anemias,*
139,MOULTRIE,Unknown (R99),*
139,MOULTRIE,Pneumonitis due to solids and liquids,*
139,MOULTRIE,Viral hepatitis,*
139,MOULTRIE,Intentional self-harm (suicide),*
139,MOULTRIE,Influenza and pneumonia,*
139,MOULTRIE,Complications of medical and surgical care,*
139,MOULTRIE,Nutritional deficiencies,*
139,MOULTRIE,"Congenital malformations, deformations and chromosomal abnormalities",*
141,OGLE,Diseases of heart (heart disease),124
141,OGLE,Malignant neoplasms (cancer),123
141,OGLE,All other causes,96
141,OGLE,Accidents (unintentional injuries),42
141,OGLE,Chronic lower respiratory diseases,31
141,OGLE,Cerebrovascular diseases (stroke),27
141,OGLE,Alzheimer disease,18
141,OGLE,Diabetes mellitus (diabetes),16
141,OGLE,Parkinson disease,15
141,OGLE,COVID-19,14
141,OGLE,Septicemia,12
141,OGLE,Chronic liver disease and cirrhosis,*
141,OGLE,Influenza and pneumonia,*
141,OGLE,"Nephritis, nephrotic syndrome and nephrosis (kidney disease)",*
141,OGLE,Intentional self-harm (suicide),*
141,OGLE,Essential hypertension and hypertensive renal disease (hypertension),*
141,OGLE,Aortic aneurysm and dissection,*
141,OGLE,Pneumonitis due to solids and liquids,*
141,OGLE,Nutritional deficiencies,*
141,OGLE,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
141,OGLE,Peptic ulcer,*
141,OGLE,Human immunodeficiency virus (HIV) disease,*
141,OGLE,Hernia,*
141,OGLE,Cholelithiasis and other disorders of gallbladder,*
141,OGLE,Unknown (R99),*
141,OGLE,Atherosclerosis,*
141,OGLE,Anemias,*
143,PEORIA,Malignant neoplasms (cancer),428
143,PEORIA,Diseases of heart (heart disease),375
143,PEORIA,All other causes,284
143,PEORIA,Accidents (unintentional injuries),144
