County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lake,864,850,937,880,941,981,956,0,922,932,0,1006,1106,1034,2160
Lawrence,51,55,30,37,47,40,46,0,39,46,0,40,32,42,74
Lee,69,86,87,82,77,98,93,0,91,90,0,102,101,94,208
Livingston,111,116,130,120,115,111,107,0,122,107,0,105,111,87,252
Logan,0,61,67,62,60,67,72,0,72,57,0,76,71,58,150
Macon,307,300,307,0,311,273,317,0,264,248,0,260,299,289,0
Macoupin,153,137,140,154,171,140,143,0,144,143,0,140,139,133,334
Madison,0,681,678,646,681,635,685,0,686,742,0,717,723,717,1454
Marion,129,142,139,137,123,129,132,0,136,141,0,121,130,119,260
Marshall,0,41,53,43,0,39,41,0,30,44,0,52,46,34,102
Mason,45,46,36,45,34,50,38,0,40,38,0,38,44,49,102
Massac,48,52,54,53,53,48,49,0,67,57,0,22,41,34,68
McDonough,84,87,91,78,65,76,75,0,78,0,0,83,88,66,186
McHenry,448,356,409,389,434,411,435,0,458,483,0,471,540,556,1140
McLean,299,246,255,238,226,265,286,0,272,289,0,271,337,291,638
Menard,25,35,38,17,32,14,25,0,24,28,0,0,0,0,58
Mercer,34,54,44,58,64,0,0,0,43,42,48,50,34,50,106
Monroe,0,63,52,65,52,71,65,0,0,73,78,77,76,86,142
Montgomery,100,87,85,64,86,80,71,0,81,80,0,91,82,68,140
Morgan,0,90,92,114,102,117,107,124,119,128,156,131,112,97,204
Moultrie,0,35,59,50,37,33,48,0,40,26,0,45,41,45,82
Ogle,93,128,110,108,108,114,95,0,101,125,0,111,122,119,250
Peoria,433,350,358,366,395,409,379,0,404,371,0,420,419,449,854
Perry,66,63,59,46,53,61,42,0,49,55,0,59,53,57,106
Piatt,34,42,37,46,49,43,42,37,44,45,35,35,50,47,66
Pike,40,39,34,38,31,39,39,42,44,39,51,38,37,43,96
Pope,14,9,12,15,16,13,8,0,13,20,0,12,10,20,24
Pulaski,26,24,23,17,28,21,29,0,18,22,0,22,18,21,86
Putnam,7,12,10,7,18,15,19,0,16,20,0,11,15,15,26
Randolph,82,101,76,86,73,85,87,0,78,91,0,83,86,97,164
Richland,44,52,54,39,41,47,44,0,45,51,0,46,54,59,114
Rock Island,0,386,422,475,434,427,381,0,418,400,0,383,392,367,770
Saline,89,76,96,68,63,83,75,72,82,62,72,76,74,67,168
Sangamon,415,469,422,399,409,434,443,0,417,440,0,412,490,458,960
Schuyler,29,25,27,22,20,18,15,0,23,24,0,19,18,21,46
Scott,15,12,13,17,14,13,11,18,10,11,9,20,18,20,26
Shelby,67,65,73,72,61,57,63,0,55,65,0,59,60,56,118
St. Clair,574,538,527,562,549,558,556,0,604,624,0,614,579,532,1208
Stark,13,25,16,16,16,23,22,18,12,15,0,19,18,25,34
Stephenson,107,111,114,96,111,119,104,0,125,109,0,120,131,98,262
Suburban Cook,0,5088,5170,5106,0,5115,5176,0,5021,0,0,5236,5565,5285,10504
Tazewell,284,323,319,307,280,301,330,0,348,357,0,273,351,367,0
Union,56,42,43,53,54,51,39,0,41,0,0,66,64,59,110
Vermilion,226,213,243,282,272,249,256,0,240,230,0,201,212,194,418
Wabash,0,28,46,34,34,26,33,0,43,20,0,22,30,28,56
Warren,64,46,48,49,48,57,49,0,60,50,0,53,70,49,92
Washington,46,33,36,37,49,33,49,0,40,41,0,38,35,31,78
Wayne,65,57,40,42,45,53,58,0,40,53,0,52,44,51,98
White,237,226,241,204,230,188,193,0,202,260,0,244,213,217,438
Will,189,1047,1081,1162,1076,1125,1153,0,1177,1226,143,142,153,154,2642
Winnebago,618,609,641,615,641,638,630,0,661,689,701,733,732,765,1584
Woodford,85,78,85,73,0,87,83,0,71,94,0,105,107,90,230
